Participante,Pretest: Tiempo Diagnóstico (min),Postest: Tiempo Diagnóstico (min),Pretest: Precisión (%),Postest: Precisión (%),Observaciones
Participante 1,21.23,14.84,79.07,91.84,Sin incidentes
Participante 2,20.84,14.21,77.19,94.42,Interrupciones menores en la evaluación
Participante 3,21.49,12.76,77.99,94.54,Interrupciones menores en la evaluación
Participante 4,20.83,12.21,73.83,90.11,Sin incidentes
Participante 5,19.31,14.93,73.06,91.48,Sin incidentes
Participante 6,20.01,12.56,71.44,90.07,Interrupciones menores en la evaluación
Participante 7,18.49,14.7,73.05,90.83,Sin incidentes
Participante 8,18.84,14.89,79.28,90.07,Sin incidentes
Participante 9,20.9,13.99,76.44,94.87,Sin incidentes
Participante 10,20.08,12.53,72.15,94.41,Sin incidentes
Promedio,20.201999999999998,13.761999999999997,75.35,92.26399999999998,
